epoch,_f_score,loss,lr,val__f_score,val_loss
0,0.7364282504998175,0.8827142345971778,1e-05,0.7772959844389958,0.7405055087448945
1,0.8042182042696219,0.6470234589616606,1e-05,0.8092159237434615,0.6427895119830743
2,0.8255018778006826,0.5778183524936549,1e-05,0.8171972169804929,0.5993550949132265
3,0.8385045369983163,0.5357304720076487,1e-05,0.8364997657377329,0.5464238951455301
4,0.8454935141877171,0.5110710548534713,1e-05,0.8306258965784045,0.5526683659695867
5,0.8502663628762539,0.49677680529737117,1e-05,0.8530539634512432,0.49894788483185554
6,0.858539351632604,0.4706612715158321,1e-05,0.8636211339217513,0.46386514048078165
7,0.863153157181013,0.4553245779916256,1e-05,0.8590022797015175,0.4687234817156151
8,0.8676711485953136,0.44233210767068826,1e-05,0.8675319739242098,0.45216762263383437
9,0.8718090101688768,0.4242118959588632,1e-05,0.8689195887366338,0.44960400228624914
10,0.8742245030225875,0.4152867800961197,1e-05,0.8744392826485989,0.42834106376811637
11,0.8740620847971466,0.41856056307771394,1e-05,0.8675763687091087,0.44226065633901906
12,0.8782557863949843,0.4015327366311311,1e-05,0.87731078000211,0.41690843396667226
13,0.8806119978871044,0.3961896367897331,1e-05,0.8766887023377774,0.4182595400445497
14,0.8832995067298633,0.38734245823772423,1e-05,0.8748055705383643,0.4152952494905956
15,0.8808338328586635,0.391064703713784,1e-05,0.8785404069210166,0.41235133649697947
16,0.8836970173071751,0.383169820788403,1e-05,0.8884682521891238,0.3818060188595928
17,0.8865543686989071,0.37453393771081167,1e-05,0.8863359195972557,0.3854721746782758
18,0.8854134840593019,0.37625397018894385,1e-05,0.8796631342439509,0.4008231664549059
19,0.8890448482949495,0.3638953700052318,1e-05,0.8822075310927718,0.3898106496503104
20,0.8925733430013337,0.3529646980219614,1e-05,0.8803742825984955,0.3981278054972193
21,0.8922574145643242,0.3534119379564732,1e-05,0.891414902103481,0.3672458054636841
22,0.8923548051194188,0.35311598865294547,1e-05,0.8941850524340103,0.35979044003717936
23,0.8950054390722935,0.3450766454786616,1e-05,0.8840684334733593,0.38616468546105853
24,0.8975263145998065,0.33802123450878385,1e-05,0.8924756512713077,0.3697064583426091
25,0.8960840277733856,0.3413941173859245,1e-05,0.9006093188897887,0.3465371394335334
26,0.8989695692815746,0.33298473134913853,1e-05,0.8940322621544795,0.36170029840362605
27,0.8987354672752792,0.3324325147974668,1e-05,0.899801729330376,0.3436938812261197
28,0.9002772190756957,0.32957780585523877,1e-05,0.899417937691532,0.34143754361725565
29,0.9013524670361586,0.32317039417622256,1e-05,0.8995949990713774,0.3457222427450009
30,0.9003791220790834,0.32728559360406656,1e-05,0.899061353348974,0.3408995766693087
31,0.9023736259972739,0.3202283704535669,1e-05,0.9015429304606879,0.3368884380628814
32,0.9024418563647785,0.31754810363054276,1e-05,0.9032620809861084,0.33343411815255436
33,0.9049043676445475,0.312060517006204,1e-05,0.8988734973010732,0.33396726401884164
34,0.9058902262533465,0.31109776613769924,1e-05,0.8977837446910232,0.35272065527848345
35,0.9071418086835443,0.3056293093914436,1e-05,0.8957058987510738,0.35604886143510023
36,0.9063613708356056,0.3080657636781386,1e-05,0.9044472735319564,0.32407400757074356
37,0.9077087935461874,0.3045710377727521,1e-05,0.9089419761700417,0.3117330734854314
38,0.9078828829814953,0.3021194181477713,1e-05,0.9086257628540495,0.3131272600435499
39,0.9103628830174088,0.295143964745409,1e-05,0.9064575264702982,0.3228385494048916
40,0.91037309214085,0.29748749605563496,1e-05,0.9060616337541324,0.3181299711786099
41,0.90942818380643,0.2957718559301919,1e-05,0.909427268736398,0.31434542874791727
42,0.9097567617228484,0.2963209718355016,1e-05,0.909119939181342,0.3096455733722715
43,0.9100305019258124,0.29599201441032735,1e-05,0.9103050814635718,0.3059273953758069
44,0.9109745649378539,0.29143756826072376,1e-05,0.9105975952611041,0.30248011982263023
45,0.9122142006251892,0.28674269101987543,1e-05,0.9083609234041242,0.3115142563830561
46,0.9124327156845079,0.2879806066894398,1e-05,0.9128497879006969,0.28950405220932035
